ensembl_id	c1	c2	c3	c4	c5	c6	c7	c8	t1	t2	t3	t4	t5	t6	t7	t8
ENSG00000131094.3	28	851	142	157	100	252	2011	303	52	173	84	70	768	22	27	57
ENSG00000131095.10	8	6	10	6	18	28	4	10	18	18	4	11	25	14	17	5
ENSG00000131096.9	1	3	24	3	1	2	17	6	6	5	8	3	3	4	8	0
ENSG00000131097.5	143	120	56	50	24	30	25	46	121	57	40	40	62	50	94	41
ENSG00000131100.11	4336	6680	5562	11017	3044	5494	7513	4715	5952	5057	7493	3207	8190	4067	4947	5276
ENSG00000131115.14	650	416	938	714	793	2234	816	963	859	496	719	863	639	589	728	331
ENSG00000131116.10	817	1561	497	694	1047	1480	1109	1192	908	1085	828	441	682	337	1091	916
ENSG00000131126.17	0	4	253	11	7	1	10	10	6	20	42	3	18	4	66	15
ENSG00000131127.12	452	551	633	611	395	579	350	903	531	334	559	168	466	225	276	35
ENSG00000131142.12	232	6	10	0	130	752	5	2	2	5	6	17	1	10	63	7
ENSG00000131143.7	13202	49528	17625	33390	10208	7414	16893	15677	12894	26090	25075	6286	18009	15730	16097	17344
ENSG00000131148.7	1159	3712	1967	3418	1261	1297	1734	1465	2036	2177	3109	1011	2372	2039	1449	1805
ENSG00000131149.16	3687	2581	7693	7345	3497	7001	8785	4676	8036	2656	9272	7379	6327	3451	5880	6392
ENSG00000131152.4	0	10	0	2	2	1	2	4	4	2	7	3	0	3	4	9
ENSG00000131153.7	406	3671	861	2077	433	1063	1284	471	661	3102	2907	326	1186	1265	454	822
ENSG00000131165.13	4030	6625	9337	9455	4745	4315	8842	5822	6466	7201	8024	4568	9295	5908	3911	9130
ENSG00000131171.11	9769	2954	6977	4420	4373	8217	2111	5258	11663	7147	3052	9506	4757	6549	10060	6040
ENSG00000131174.4	4485	22773	6960	6209	5724	6266	5698	8137	6654	13907	7253	2492	6722	6399	7567	10410
ENSG00000131183.9	2	57	61	152	5	3	41	89	4	31	24	1	13	6	6	3
ENSG00000131187.8	39	4450	580	2309	671	147	2139	990	862	999	671	194	480	284	752	1205
ENSG00000131188.10	266	2464	1397	3951	1188	707	3284	2629	984	2318	738	410	592	570	423	1198
ENSG00000131196.16	2036	2161	1596	1754	2503	552	4537	1189	3036	1869	1804	1723	2004	1483	2252	1801
ENSG00000131203.11	18078	681	52443	269	33058	847	429	1579	220	2606	118	2804	359	34673	637	887
ENSG00000131233.9	2	2	9	3	5	13	5	21	6	1	3	3	2	10	7	7
ENSG00000131236.15	17137	20709	21008	19752	27337	17283	42213	16711	31243	15903	14965	15908	35914	18541	30353	46224
ENSG00000131238.15	9214	45994	7639	13066	11364	26736	13636	9002	13936	15405	7923	8899	13797	8838	10899	9970
ENSG00000131242.14	1689	731	1987	1017	9577	7186	1503	1329	2905	556	1518	2318	1010	3099	1873	7239
ENSG00000131263.11	2994	3664	5997	5929	6485	13878	7714	6829	9510	3636	5707	5724	9708	7049	4314	6370
ENSG00000131264.3	0	0	5	2	1	0	1	0	0	0	0	0	0	0	0	0
